name,bio,sponsers,insta-followers,insta-rank,yt-views,yt-rank,funded,paid,backers
Koya Miyasaka,"Regular,  Age 18,  Nagano JPN","Volcom Malaysia, Vans Malaysia, Laksamana Skateboards, 3rql.co.",,,,,$0,$0,0
Dario Galletti,Johannesburg ZAF,None.,,,,,$0,$0,0
Alex Donaldson,"Goofy,  Age 19,  Toronto USA",None.,,,,,$0,$0,0
David AZ Davis,"Regular,   Yuma USA",None.,,,,,$0,$0,0
Alex C Curtis,"Regular,  Age 23,  Baton Rouge USA",None.,,,,,$0,$0,0
Allan Arma,"Goofy,  Age 17,  Port-Louis FRA","Pure Worldwide, True Love Skateboarding,  Converse, Palms Wheels.","8,945",802,0,0,$0,$0,0
Gabriel Almonte,"Goofy,  Age 25,  Brooklyn USA","King Stampede Clothing, Maximum Dosage Hats, Defiant Wheels, Grindpoint, Soul Team.",,,,,$0,$0,0
"Alex ""Fro-Man"" Coles","Goofy,  Age 22,  Albuquerque USA",None.,,,,,$0,$0,0
Hunter Arnold,"Age 15,  Mt. Dora USA",None.,,,,,$0,$0,0
Janik Aicher,"Regular,   Munich DEU",None.,,,,,$0,$0,0
Alex Cooper,USA,Olympia.,,,,,$0,$0,0
Mike Abarta,USA,"Brixton, Bones Wheels..",,,,,$0,$0,0
Eric Alvarez,"Regular,  Age 28,  San Diego USA",None.,,,,,$0,$0,0
Kevin Andrews,"Regular,  Age 28,  Enid USA",None.,,,,,$0,$0,0
Mike Akande,"Regular,  Age 25,  Brooklyn Park USA",None.,,,,,$0,$0,0
Jack Hunt,"Regular,  Age 11,  Fairfax USA",None.,,,,,$0,$0,0
Andres Luna,"Regular,  Age 17,  San Marcos USA",None.,,,,,$0,$0,0
Jost Arens,"Goofy,  Age 20,  Warendorf DEU","Titus, adidas, Red Bull, Bones, 24/7 Distr., Stance, Mercedes benz.","3,795","1,166","154,340",494,$0,$0,0
Chris Inman,"Regular,  Age 32,  Fayetteville USA","Daville Skate Shop, Laissez Faire.",,,,,$0,$0,0
Mark Issa,"Regular,  Age 21,  Beirut LBN",Red Bull.,"1,681","1,756",0,0,$0,$0,0
Victor Aceves,"Regular,  Age 18,  Northridge USA","Toy Machine, Emerica, Val Surf, Spitfire, Independent.",,,,,$0,$0,0
Nathaniel Fowler,"Regular,  Age 18,  Glendale USA",None.,,,,,$0,$0,0
